"","lon","lat","TWL","GPDscale","GPDshape","GPDthresh"
"1201",-94.89258,29.24479,1.06802001380128,0.116191911057533,-0.103651920280967,0.455297836816108
"1202",12.33398,44.29688,1.18799176168176,0.121741925683161,-0.034871527826452,0.370941827798149
"1203",12.33398,44.81771,1.23657863200241,0.128219076460955,-0.0436560918088869,0.400436625906234
"1204",-48.66211,-26.64062,0.88136235391304,0.12582135331254,-0.428271162038052,0.597338949748134
"1205",12.45117,45.54688,1.37647029789593,0.110958364762746,0.0251374596914408,0.418884738250896
"1206",-96.18164,28.51563,0.848871013610345,0.07585628928572,-0.05540588495658,0.377694825712664
"1207",12.50977,44.92188,1.1910053932294,0.122713278977957,-0.0502695820236178,0.403822042131448
"1208",-46.14258,-23.88021,0.982748865268547,0.142451807728148,-0.499500300280014,0.702887397079905
"1209",12.86133,45.59896,1.49582900548323,0.118377861860883,0.0333130415612945,0.440306270855151
"1210",-97.11914,27.78646,0.958143351440963,0.0676375789674312,0.025679775323347,0.394646767157167
"1211",13.0957,45.65104,1.78409707315649,0.118714754706012,0.0883388991412354,0.451145140638674
"1212",13.1543,45.75521,1.84054770429788,0.105123863516543,0.124902401808189,0.438171054066775
"1213",-97.64648,24.60938,0.563111882230706,0.0529594298246336,-0.11849674872952,0.296467963264272
"1214",13.33008,45.75521,1.86043496662403,0.10566020120401,0.127446341585206,0.436313845016397
"1215",-96.18164,19.24479,0.612147927926296,0.0596295704281336,-0.154834695408319,0.343592904269557
"1216",13.38867,45.75521,1.87549284901282,0.106667863047087,0.127085079350295,0.439216647160425
"1217",-91.25977,18.61979,0.8068300779744,0.0614378096480673,0.0192535803464427,0.277564353958671
"1218",13.44727,45.70313,1.86139906209341,0.105455403097237,0.127397203050088,0.43911248464196
"1219",-88.21289,16.95313,0.268951232225735,0.0321165370371292,-0.144660229250459,0.119456634941813
"1220",13.56445,45.75521,2.11546438047202,0.115992071721918,0.140794585770767,0.461986632849003
"1221",-86.68945,15.78125,0.454549876606574,0.0352277804526325,0.0045839885239263,0.175541230684411
"1222",13.68164,45.70313,2.13994312266526,0.115286545333413,0.145106928309467,0.462228594596563
"1223",-83.81836,11.11979,0.532388758185584,0.0493274958146618,-0.245587234143654,0.360526231591861
"1224",13.74023,45.59896,2.16593183490574,0.11338237580217,0.151862437307494,0.461184110815044
"1225",-81.38672,8.802084,0.552022430397529,0.052222519056238,-0.236614011849182,0.365802980124941
"1226",-76.8457,8.619792,0.536067403351198,0.0523075174701767,-0.229402448925051,0.34564310392169
"1227",-75.26367,10.75521,0.550922894448914,0.0576019500197604,-0.293959944567405,0.374708703721323
"1228",13.62305,45.54688,2.05777837693833,0.113915844645862,0.136931460833526,0.459935393380023
"1229",-71.57227,10.65104,0.731552589080508,0.0731882339995516,-0.337615457868605,0.529051033875757
"1230",-71.57227,10.59896,0.286246525124233,0.0237100825574411,-0.204409434043851,0.196510424630403
"1231",-68.11523,10.49479,0.413908201950518,0.0452939587927245,-0.279517844266392,0.269547475425976
"1232",13.56445,45.49479,1.88909094995401,0.114949070934828,0.109925641656416,0.460177207024769
"1233",-66.12305,10.59896,0.442709189156839,0.0484621397869517,-0.273651756357555,0.286018064770877
"1234",15.26367,44.08854,0.670776073553053,0.0926486322527829,-0.131480947655628,0.229183608710125
"1235",-62.02148,10.65104,0.886991828135263,0.118841380150004,-0.433724374349334,0.622021946815775
"1236",17.51953,42.83854,0.753217376279292,0.118047298378547,-0.189689627817594,0.28335231877678
"1237",-57.97852,6.796876,1.65728548818888,0.225429130293872,-0.458734658808717,1.17992663855329
"1238",17.43164,42.89063,0.754758085078381,0.118487450569851,-0.189620648322514,0.2831939697141
"1239",-55.16602,6.067709,1.65708422298253,0.233806557629844,-0.473568565285664,1.17593225494583
"1240",18.80859,42.26563,0.77357962307406,0.120108097858091,-0.173620568250379,0.274602147579862
"1241",-50.83008,0.1822924,1.759554419908,0.204988219374865,-0.407463179177982,1.27544828663782
"1242",19.42383,41.84896,0.609146378438648,0.0797572832653828,-0.107075100705753,0.196541114590662
"1243",-48.48633,-1.223958,2.49284287132786,0.320333616287072,-0.511385401226395,1.87840631517099
"1244",19.59961,41.79688,0.619837522809125,0.0804504952981932,-0.101905946537083,0.196255543030316
"1245",19.59961,41.74479,0.611742088112419,0.0792455581704451,-0.102572265741044,0.19525835469631
"1246",-44.38477,-2.682291,3.01487486942652,0.281642097657698,-0.349259427630529,2.25858549024124
"1247",19.59961,41.64063,0.616185423406114,0.0770010631336771,-0.0907553332903108,0.194853855729996
"1248",-39.63867,-3.046874,2.09443936146159,0.268212512671739,-0.44556189970104,1.51158407946397
"1249",19.54102,41.58854,0.609392919270275,0.0768851499565121,-0.0951696324197217,0.194802214988293
"1250",-34.95117,-6.692708,1.70602278452054,0.209878256882192,-0.412877857092223,1.21944896122681
"1251",-34.89258,-8.151041,1.65358779049035,0.210557749634334,-0.427592236201252,1.18036759496877
"1252",19.48242,41.43229,0.744971476082672,0.109762106665732,-0.164216858988415,0.275409557649764
"1253",-36.94336,-10.80729,1.49880640915401,0.200571123404802,-0.453936917480423,1.07094529481775
"1254",19.48242,41.17188,0.723896133324478,0.106346198813931,-0.167550705474577,0.273355882816331
"1255",-38.52539,-12.78646,1.67035680130177,0.192822834166197,-0.375484218868454,1.18603462841662
"1256",19.48242,41.01563,0.708095983875503,0.106896387587848,-0.179367661737292,0.271457714656734
"1257",-40.16602,-20.13021,1.0510402749356,0.119141177662024,-0.314955966239297,0.705455337354119
"1258",-171.6211,63.72396,1.9936532920872,0.193583379297278,-0.0410832443986125,0.703283061996842
"1259",19.54102,40.91146,0.709490543712676,0.102623023583996,-0.160741741921294,0.265752292726188
"1260",-176.0742,51.84896,1.99734255536558,0.258017942507155,-0.252202480326709,1.12379308598716
"1261",19.36523,40.75521,0.671333896925139,0.101750772489233,-0.184482898457769,0.262744339523044
"1262",19.42383,40.49479,0.677367667908154,0.103756551839533,-0.183940833086916,0.26298898576447
"1263",19.27734,40.44271,0.6671582892023,0.103350459539006,-0.191127733849757,0.262834273175397
"1264",-153.3398,58.15104,3.75284563833011,0.435317125173855,-0.325379295395537,2.51556012556009
"1265",19.62891,40.15625,0.572405204673069,0.0854292621716957,-0.150740389737671,0.197974447218353
"1266",-152.9297,57.13542,2.80775952313558,0.308549440422848,-0.232996074776475,1.6870893730138
